Unique ID,budget,company,country,director,genre,gross,name,rating,released,runtime,score,star,writer,year
126,6000000,Circle Films,USA,Joel Coen,Comedy,22847564,Raising Arizona,PG-13,4/17/87,94,7.4,Nicolas Cage,Ethan Coen,1987
127,0,Hawn / Sylbert Movie Company,USA,Garry Marshall,Comedy,26713187,Overboard,PG,12/16/87,106,6.8,Goldie Hawn,Leslie Dixon,1987
128,25000000,Cannon Group,USA,Menahem Golan,Action,16057580,Over the Top,PG,2/13/87,93,5.7,Sylvester Stallone,Gary Conway,1987
129,6000000,Gladden Entertainment,USA,Michael Gottlieb,Comedy,42721196,Mannequin,PG,2/13/87,90,5.8,Andrew McCarthy,Edward Rugoff,1987
130,27000000,Warner Bros.,USA,Joe Dante,Action,25893810,Innerspace,PG,7/1/87,120,6.8,Dennis Quaid,Chip Proser,1987
131,0,Paramount Pictures,USA,Carl Reiner,Comedy,35658098,Summer School,PG-13,7/22/87,97,6.5,Mark Harmon,Stuart Birnbaum,1987
132,0,RKO Pictures,USA,John Irvin,Action,13839404,Hamburger Hill,R,8/28/87,110,6.7,Anthony Barrile,James Carabatsos,1987
133,13000000,Touchstone Pictures,USA,Barry Levinson,Biography,123922370,"Good Morning, Vietnam",R,1/15/88,121,7.3,Robin Williams,Mitch Markowitz,1987
134,30000000,Paramount Pictures,USA,John Hughes,Comedy,49530280,"Planes, Trains & Automobiles",R,11/25/87,93,7.6,Steve Martin,John Hughes,1987
135,28000000,Paramount Pictures,USA,Tony Scott,Action,153665000,Beverly Hills Cop II,R,5/20/87,100,6.5,Eddie Murphy,Danilo Bach,1987
136,11000000,Interscope Communications,USA,Leonard Nimoy,Comedy,167780960,3 Men and a Baby,PG,11/25/87,102,5.9,Tom Selleck,Coline Serreau,1987
137,0,Amblin Entertainment,USA,William Dear,Comedy,29760613,Harry and the Hendersons,PG,6/5/87,110,5.9,John Lithgow,William Dear,1987
138,0,Road Movies Filmproduktion,West Germany,Wim Wenders,Drama,3210139,Wings of Desire,PG-13,5/6/88,128,8.1,Bruno Ganz,Wim Wenders,1987
139,5000000,F/M,USA,Kathryn Bigelow,Action,3369307,Near Dark,R,1988,94,7,Adrian Pasdar,Kathryn Bigelow,1987
140,2600000,Merchant Ivory Productions,UK,James Ivory,Drama,3130592,Maurice,R,9/18/87,140,7.7,James Wilby,E.M. Forster,1987
141,12000000,Rastar Pictures,USA,Herbert Ross,Comedy,66995879,The Secret of My Succe$s,PG-13,4/10/87,111,6.5,Michael J. Fox,Jim Cash,1987
142,15000000,Metro-Goldwyn-Mayer (MGM),USA,Norman Jewison,Comedy,80640528,Moonstruck,PG,1/15/88,102,7.1,Cher,John Patrick Shanley,1987
143,6500000,Columbia Pictures Corporation,USA,Luis Valdez,Biography,54215416,La Bamba,PG-13,7/24/87,108,6.8,Lou Diamond Phillips,Luis Valdez,1987
144,23000000,Recorded Picture Company (RPC),UK,Bernardo Bertolucci,Biography,43984230,The Last Emperor,PG-13,4/15/88,163,7.8,John Lone,Mark Peploe,1987
145,15000000,Orion Pictures,USA,Roger Donaldson,Action,35509515,No Way Out,R,8/14/87,114,7.1,Kevin Costner,Kenneth Fearing,1987
146,3000000,Alive Films,USA,John Carpenter,Horror,14182492,Prince of Darkness,R,10/23/87,102,6.7,Donald Pleasence,John Carpenter,1987
147,0,Twentieth Century Fox Film Corporation,USA,Marek Kanievska,Crime,12396383,Less Than Zero,R,11/6/87,98,6.4,Andrew McCarthy,Bret Easton Ellis,1987
148,0,Universal Pictures,USA,Matthew Robbins,Comedy,32945797,*batteries not included,PG,12/18/87,106,6.6,Hume Cronyn,Mick Garris,1987
149,3000000,Atlantic Entertainment Group,USA,Christopher Leitch,Comedy,7888703,Teen Wolf Too,PG,11/20/87,95,3.2,Jason Bateman,Jeph Loeb,1987
150,0,Fries Entertainment,USA,Jeffrey Bloom,Drama,15151736,Flowers in the Attic,PG-13,11/20/87,93,5.7,Louise Fletcher,Virginia C. Andrews,1987
151,0,United Artists,USA,Charles Shyer,Comedy,26712476,Baby Boom,PG,10/30/87,110,6.1,Diane Keaton,Nancy Meyers,1987
152,0,Cineplex-Odeon Films,UK,Bruce Robinson,Comedy,1544889,Withnail & I,R,6/19/87,107,7.8,Richard E. Grant,Bruce Robinson,1987
153,3500000,Laurel Entertainment Inc.,USA,Michael Gornick,Comedy,14000000,Creepshow 2,R,5/1/87,92,6,George Kennedy,Stephen King,1987
154,2500000,New Century Entertainment Corporation,Canada,Tibor Takàcs,Fantasy,13539458,TÏnel al infierno,PG-13,5/15/87,85,6,Stephen Dorff,Michael Nankin,1987
155,12000000,Columbia Pictures Industries,USA,Fred Schepisi,Comedy,40050884,Roxanne,PG,6/19/87,107,6.6,Steve Martin,Edmond Rostand,1987
156,18000000,TriStar Pictures,USA,Blake Edwards,Comedy,39321715,Blind Date,PG-13,3/27/87,95,5.9,Kim Basinger,Dale Launer,1987
